ال,the
يكون,be
و,and
من,of/from
في,in
يملك,have
أنت,you
هو,he
هم,they
لا,not/no
الذي,that
نحن,we
على,on
مع,with
هذا,this
أنا,I
يفعل,do
كما,as
هي,she
لكن,but
بواسطة,by
سوف,will/would
أو,or
يقول,say
يذهب,go
لذلك,so
كل,all/each
إذا,if
واحد,one
عن,about
يستطيع,can
الذي,which
هناك,there
يعرف,know
أكثر,more
يحصل على,get
يحب,like
عندما,when
يفكر,think
يصنع,make
وقت,time
يرى,see
ماذا,what
أعلى,up
بعض,some
آخر,other
خارج,out
جيد,good
الناس,people
سنة,year
يأخذ,take
حسنًا,well
لأن,because
جداً,very
فقط,just
يأتي,come
استطاع,could
عمل,work
يستخدم,use
الآن,now
ثم,then
أيضًا,also
داخل,into
ينظر,look
يريد,want
يعطي,give
أولاً,first
جديد,new
طريق,way
يجد,find
زيادة,over
أي,any
بعد,after
يوم,day
أين,where
شيء,thing
معظم,most
يجب,should
يحتاج,need
كثيراً,much
يمين,right
كيف,how
خلف,back
يقصد,mean
حتى,even
يمكن,may
هنا,here
كثير,many
هذه,such
طفل,child
يخبر,tell
حقًا,really
يتصل,call
قبل,before
شركة,company
خلال,through
تحت,down
يعرض,show
حياة,life
رجل,man
يتغير,change
مكان,place
طويل,long
بين,between
يشعر,feel
أيضاً,too
ما زال,still
مشكلة,problem
يكتب,write
نفس,same
عظيم,great
يحاول,try
يترك,leave
رقم,number
كلاهما,both
ملك,own
جزء,part
نقطة,point
قليل,little
يساعد,help
بسأل,ask
يقابل,meet
يبدأ,start
يتحدث,talk
شئ ما,something
يضع,put
يصبح,become
اهتمام,interest
دولة,country
قديم,old
مدرسة,school
متأخر,late
عالي,high
مختلف,different
التالي,next
نهاية,end
يعيش,live
لماذا,why
بينما,while
عالم,world
أسبوع,week
يلعب,play
قد,might
بيت,home
أبداً,never
يشمل,include
دورة,course
منزل,house
تقرير,report
مجموعة,group
قضية,case
امرأة,woman
حول,around
كتاب,book
عائلة,family
يبدو,seem
مرة أخرى,again
عطوف,kind
يحفظ,keep
يسمع,hear
نظام,system
سؤال,question
دائماً,always
كبير,big
تعيين,set
صغير,small
يذاكر,study
يتبع,follow
مهم,important
منذ,since
يجري,run
دور,turn
عدد قليل,few
يحضر,bring
مبكر,early
يُسلِّم,hand
ولاية,state
يتحرك,move
مال,money
حقيقة,fact
منطقة,area
يمد,provide
اسم,name
يقرأ,read
صديق,friend
شهر,month
بدون,without
معلومة,information
يفتح,open
طلب,order
حكومة,government
كلمة,word
سوق,market
يدفع,pay
يبني,build
يمسك,hold
خدمة,service
ضد,against
يعتقد,believe
ثانية,second
رغم ذلك,though
نعم,yes
حب,love
يزيد,increase
وظيفة,job
يخطط,plan
نتيجة,result
بعيد,away
مثال,example
يحدث,happen
شاب,young
يغلق,close
برنامج,program
يقود,lead
يشتري,buy
يفهم,understand
شكر,thank
اليوم,today
ساعة,hour
طالب,student
وجه,face
يأمل,hope
فكرة,idea
يكلف,cost
أقل,less
غرفة,room
سبب,reason
استمارة,form
ينفق,spend
رأس,head
سيارة,car
يتعلم,learn
مستوى,level
شخص,person
خبرة,experience
مرة واحدة,once
عضو,member
كافٍ,enough
سيء,bad
مدينة,city
ليلة,night
قادر,able
يدعم,support
سواء,whether
خط,line
حاضر,present
جانب,side
تمامًا,quite
بالرغم من,although
بالتأكيد,sure
شرط,term
الأقل,least
عمر,age
يتكلم,speak
عملية,process
عام,public
غالباً,often
يدرب,train
ممكن,possible
في الحقيقة,actually
بدلاً,rather
منظر,view
معاً,together
يعتبر,consider
سعر,price
الوالد,parent
صعب,hard
حزب,party
محلي,local
يتحكم,control
بالفعل,already
هَم,concern
منتج,product
يخسر,lose
قصة,story
بالكاد,almost
يكمل,continue
يقف,stand
جميع,whole
حتى الآن,yet
معدل,rate
رعاية,care
يتوقع,expect
تأثير,effect
نوع,sort
أبدًا,ever
أي شئ,anything
يسقط,fall
اتفاق,deal
ماء,water
يرسل,send
يسمح,allow
قريباً,soon
يشاهد,watch
قاعدة,base
من المحتمل,probably
يقترح,suggest
ماضي,past
قوة,power
امتحان,test
يزور,visit
مركز,center
ينمو,grow
لا شئ,nothing
يعود,return
الأم,mother
يمشي,walk
موضوع,matter
عقل,mind
قيمة,value
مكتب,office
سِجِلّ,record
يقضي,stay
قف,stop
عديد,several
ضوء,light
يطور,develop
يتذكر,remember
يشارك,share
حقيقي,real
إجابة,answer
يجلس,sit
شكل,figure
خطاب,letter
يقرر,decide
لغة,language
فصل,class
تطوير,development
بلدة,town
نصف,half
دقيقة,minute
طعام,food
استراحة,break
واضح,clear
مستقبل,future
لكل,per
يبقى,remain
قمة,top
ضمن,among
يفوز,win
لون,color
يتضمن,involve
يصل,reach
اجتماعي,social
فترة,period
عير,across
ملحوظة,note
تاريخ,history
يخلق,create
على امتداد,along
صوت,sound
العين,eye
موسيقى,music
لعبة,game
سياسي,political
حر,free
يستلم,receive
لحظة,moment
أُوكَازيُون,sale
سياسة,policy
إضافي,further
جسم,body
يتطلب,require
انتظر,wait
يظهر,appear
نحو,toward
فريق,team
سهل,easy
فردي,individual
ممتلىء,full
أسود,black
حاسة,sense
ربما,perhaps
يضيف,add
يمر,pass
ينتج,produce
يبيع,sell
قصير,short
يوافق,agree
قانون,law
كل شئ,everything
بحث,research
غطاء,cover
ورق,paper
موضع,position
قريب,near
بشر,human
حاسوب,computer
الموقف,situation
طاقم عمل,staff
نشاط,activity
فيلم,film
صباح,morning
حرب,war
حساب,account
محل,shop
رئيسي,major
شخص ما,someone
فوق,above
تصميم,design
حدث,event
خاص,special
أحيانا,sometimes
حالة,condition
يحمل,carry
يختار,choose
أب,father
قرار,decision
طاولة,table
تأكيد,certain
إلى الأمام,forward
يموت,die
دُبٌّ,bear
يقطع,cut
يصف,describe
نفسه,himself
متاح,available
خصوصاً,especially
قوي,strong
يعلو,rise
بنت,girl
مجتمع,community
ينضم,join
لو سمحت,please
التفاصيل,detail
اختلاف,difference
فعل,action
صحة,health
يأكل,eat
خطوة,step
هاتف,phone
أنفسهم,themselves
يرسم,draw
أبيض,white
يمارس,practice
نموذج,model
يرفع,raise
عميل,customer
أمام,front
يشرح,explain
باب,door
الخارج,outside
اقتصادي,economic
موقع,site
يقترب,approach
مدرس,teacher
أرض,land
تكلفة,charge
أخيراً,finally
لافتة,sign
مطالبة,claim
علاقة,relationship
يسافر,travel
يتمتع,enjoy
موت,death
كمية,amount
يحسن,improve
صورة,picture
ولد,boy
اعتبار,regard
منظمة,organization
سعيد,happy
زوج,couple
يمثل,act
يتراوح,range
جودة,quality
مشروع,project
دائري,round
فرصة,opportunity
قائمة,list
يتمنى,wish
يرتدي,wear
تمويل,fund
صناعة,industry
تعليم,education
يقيس,measure
قتل,kill
يخدم,serve
محتمل,likely
وطني,national
نفسها,itself
علم,teach
مجال,field
حماية,security
هواء,air
فائدة,benefit
تجارة,trade
مخاطرة,risk
أخبار,news
معيار,standard
تصويت,vote
في المئة,percent
ركز,focus
منصة,stage
فضاء,space
بدلاً من,instead
يدرك,realize
عادة,usually
بيانات,data
أعزب,single
عنوان,address
أداء,performance
يقبل,accept
تكنولوجيا,technology
يذكر,mention
خيار,choice
شائع,common
ثقافة,culture
المجموع,total
يطلب,demand
مادة,material
حد,limit
يستمع,listen
حق,due
خطأ,wrong
قدم,foot
جهد,effort
انتباه,attention
يفحص,check
مكتمل,complete
كذب,lie
يقلل,reduce
شخصي,personal
أرضي,ground
حيوان,animal
مريض,patient
حاضِر,current
قرن,century
شهادة,evidence
يخرج,exist
مشابه,similar
يعارك,fight
قائد,leader
بخير,fine
شارع,street
سابق,former
اتصال,contact
خصوصًا,particularly
زوجة,wife
رياضة,sport
يناقش,discuss
قطعة,piece
ينهي,finish
يفترض,suppose
يتقدم,apply
رئيس,president
نار,fire
يقارن,compare
محكمة,court
شرطة,police
فقير,poor
معرفة,knowledge
يضحك,laugh
ذراع,arm
قلب,heart
مصدر,source
موظف,employee
يدير,manage
ببساطة,simply
بنك,bank
حازم,firm
خلية,cell
سريع,fast
هجوم,attack
أجنبي,foreign
مفاجأة,surprise
ميزة,feature
عامل,factor
جميل,pretty
حديثاً,recently
يؤثر,affect
مؤخرًا,recent
رسمي,official
مالي,financial
يفتقد,miss
فن,art
حملة,campaign
يوقف,pause
ينسى,forget
صفحة,page
يقلق,worry
صيف,summer
شرب,drink
رأي,opinion
حديقة,park
مفتاح,key
مدير,manager
دولي,international
يحتوي,contain
يلاحظ,notice
يتعجب,wonder
طبيعة,nature
بناء,structure
قسم,section
نفسي,myself
بالضبط,exactly
نبات,plant
طلاء,paint
العامل,worker
يضعط,press
أيا كان,whatever
ضروري,necessary
نمو,growth
مساء,evening
احترام,respect
متنوع,various
هكذا,thus
مهارة,skill
محاولة,attempt
ابن,son
بسيط,simple
واسطة,medium
متوسط,average
مخزون,stock
إدارة,management
شخصية,character
سرير,bed
يضرب,hit
يٌرسّخ,establish
أخير,final
اقتصاد,economy
ملائم,fit
أمس,yesterday
مقاس,size
سلوك,behavior
إضافة,addition
يحدد,determine
محطة,station
سكان,population
يفشل,fail
بيئة,environment
إنتاج,production
عقد,contract
لاعب,player
تعليق,comment
يدخل,enter
وحيد,alone
بارِز,significant
دواء,drug
حائط,wall
مسلسل,series
مباشر,direct
نجاح,success
غداً,tomorrow
مخرج,director
بوضوح,clearly
نقص,lack
مراجعة,review
تعتمد,depend
سباق,race
يتعرف على,recognize
نافذة,window
غاية,purpose
يكسب,gain
شجرة,tree
كلية,college
يجادل,argue
سبورة,board
عطلة,holiday
علامة,mark
كنيسة,church
آلة,machine
يحقق,achieve
غرض,item
يثبت,prove
سنت,cent
موسم,season
أرضية,floor
أشياء,stuff
واسع,wide
أي شخص,anyone
طريقة,method
تحليل,analysis
انتخاب,election
جيش,military
الفندق,hotel
النادي,club
طبيب,doctor
مناقشة,discussion
آسف,sorry
تحدي,challenge
أمة,nation
